RequestID,Subject,Description,Application,Requester,Department,Created Time,Request Status,Technician,Resolved By
REQ-5001,Requesting software install,please look into this,Not Requested,Employee 2944,Regulatory Affairs,2025-09-03 18:08:57,On Hold,Tech 01,Agent 04
REQ-5002,Printer offline level 3,please look into this,Not Requested,Employee 5850,Regulatory Affairs,2025-09-02 10:25:24,Closed,Tech 02,Agent 04
REQ-5003,New Ticket,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 6703,HR,2025-09-03 09:19:20,Transfer to Infra,Tech 06,Agent 04
REQ-5004,Password reset needed,please look into this,Not Requested,Employee 9599,Manufacturing,2025-09-02 09:56:59,On Hold,Tech 05,Agent 01
REQ-5005,Email id creation for new joinees,please look into this,Not Requested,Employee 2534,Regulatory Affairs,2025-09-02 12:13:56,Open,Tech 04,Agent 05
REQ-5006,New Ticket,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Cancelled,Employee 4559,Quality,2025-09-06 21:10:44,Closed,Tech 03,Agent 04
REQ-5007,System slow after patch,please look into this,Cancelled,Employee 6176,Marketing,2025-09-06 20:37:01,On Hold,Tech 05,Agent 05
REQ-5008,System slow after patch,please look into this,Not Requested,Employee 2131,Finance,2025-09-03 14:01:30,Closed,Tech 04,Agent 02
REQ-5009,New Ticket,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 4366,Field Sales,2025-09-02 19:00:36,Closed,Tech 05,Agent 01
REQ-5010,Add user to distribution list,please look into this,Not Requested,Employee 6201,Regulatory Affairs,2025-09-03 15:05:39,Closed,Tech 06,Agent 06
REQ-5011,Weekly compliance report India,please look into this,Not Requested,Employee 6715,Finance,2025-09-01 04:30:48,Transfer to Infra,Tech 05,Agent 04
REQ-5012,Requesting software install,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 4120,Finance,2025-09-04 20:54:57,Open,Tech 03,Agent 05
REQ-5013,Weekly compliance report India,please look into this,Approved,Employee 1770,Manufacturing,2025-09-06 16:42:43,Closed,Tech 05,Agent 01
REQ-5014,Add user to distribution list,please look into this,Approved,Employee 4212,Marketing,2025-09-01 05:21:24,Closed,Tech 03,Agent 01
REQ-5015,New Ticket,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 1567,Manufacturing,2025-09-03 02:36:46,Closed,Tech 02,Agent 04
REQ-5016,Laptop replacement,please look into this,Not Requested,Employee 1230,Regulatory Affairs,2025-09-01 15:23:56,Open,Tech 01,Agent 02
REQ-5017,VPN not connecting,please look into this,Not Requested,Employee 1931,IT,2025-09-03 14:46:28,On Hold,Tech 06,Agent 05
REQ-5018,Need code assistant access,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 3358,Regulatory Affairs,2025-09-05 17:53:42,Closed,Tech 02,Agent 04
REQ-5019,VPN not connecting,please look into this,Not Requested,Employee 9706,Manufacturing,2025-09-05 14:14:02,On Hold,Tech 06,Agent 01
REQ-5020,Password reset needed,please look into this,Not Requested,Employee 6812,Marketing,2025-09-05 07:07:39,Closed,Tech 04,Agent 06
REQ-5021,Add user to distribution list,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 1137,Marketing,2025-09-03 10:59:42,Closed,Tech 02,Agent 02
REQ-5022,New Ticket,please look into this,Not Requested,Employee 3540,Finance,2025-09-05 02:46:26,Closed,Tech 02,Agent 02
REQ-5023,New Ticket,please look into this,Not Requested,Employee 8056,Supply Chain,2025-09-03 05:31:25,Closed,Tech 05,Agent 01
REQ-5024,Add user to distribution list,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Cancelled,Employee 9954,HR,2025-09-03 04:00:05,On Hold,Tech 01,Agent 02
REQ-5025,Email id creation for new joinees,please look into this,Not Requested,Employee 2961,Quality,2025-09-02 04:56:42,Closed,Tech 01,Agent 06
REQ-5026,New Ticket,please look into this,Approved,Employee 8825,Regulatory Affairs,2025-09-04 20:22:39,On Hold,Tech 05,Agent 02
REQ-5027,Password reset needed,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 3693,Quality,2025-09-01 01:07:09,Closed,Tech 05,Agent 06
REQ-5028,New Ticket,please look into this,Approved,Employee 6890,Manufacturing,2025-09-02 18:59:34,Closed,Tech 05,Agent 01
REQ-5029,Access removal request,please look into this,Not Requested,Employee 9890,Supply Chain,2025-09-06 08:44:07,Open,Tech 04,Agent 02
REQ-5030,Access removal request,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 7710,Supply Chain,2025-09-01 23:49:34,Closed,Tech 04,Agent 01
REQ-5031,Printer offline level 3,please look into this,Not Requested,Employee 9521,HR,2025-09-03 03:22:06,On Hold,Tech 03,Agent 05
REQ-5032,System slow after patch,please look into this,Approved,Employee 1552,Marketing,2025-09-05 04:53:51,Closed,Tech 03,Agent 05
REQ-5033,Access removal request,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 4761,IT,2025-09-02 18:34:13,Closed,Tech 04,Agent 04
REQ-5034,Printer offline level 3,please look into this,Not Requested,Employee 3738,HR,2025-09-06 18:43:11,On Hold,Tech 03,Agent 05
REQ-5035,Requesting software install,please look into this,Not Requested,Employee 3827,Finance,2025-09-04 06:03:00,Closed,Tech 01,Agent 01
REQ-5036,Printer offline level 3,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 8744,Regulatory Affairs,2025-09-02 19:25:30,Closed,Tech 02,Agent 01
REQ-5037,Password reset needed,please look into this,Not Requested,Employee 1317,Marketing,2025-09-04 04:41:04,Transfer to Infra,Tech 05,Agent 05
REQ-5038,System slow after patch,please look into this,Approved,Employee 3912,Regulatory Affairs,2025-09-06 19:03:54,On Hold,Tech 05,Agent 01
REQ-5039,Email id creation for new joinees,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 2508,IT,2025-09-04 13:50:33,Closed,Tech 04,Agent 02
REQ-5040,VPN not connecting,please look into this,Cancelled,Employee 8770,R&D,2025-09-01 14:45:05,Closed,Tech 02,Agent 04
REQ-5041,Requesting software install,please look into this,Not Requested,Employee 2218,Marketing,2025-09-03 20:49:57,Open,Tech 01,Agent 01
REQ-5042,Printer offline level 3,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 1145,Regulatory Affairs,2025-09-04 01:34:38,Closed,Tech 02,Agent 06
REQ-5043,Requesting software install,please look into this,Not Requested,Employee 8878,Quality,2025-09-06 04:33:59,On Hold,Tech 03,Agent 03
REQ-5044,Access removal request,please look into this,Not Requested,Employee 1337,Field Sales,2025-09-03 09:30:39,Closed,Tech 02,Agent 01
REQ-5045,Weekly compliance report India,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Approved,Employee 5353,Marketing,2025-09-01 08:38:44,Closed,Tech 06,Agent 05
REQ-5046,Printer offline level 3,please look into this,Not Requested,Employee 2472,Manufacturing,2025-09-05 05:23:26,Open,Tech 06,Agent 02
REQ-5047,Requesting software install,please look into this,Not Requested,Employee 4490,Manufacturing,2025-09-01 18:07:56,Closed,Tech 02,Agent 01
REQ-5048,Add user to distribution list,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 9549,Marketing,2025-09-05 03:40:40,Closed,Tech 03,Agent 04
REQ-5049,Printer offline level 3,please look into this,Not Requested,Employee 5288,HR,2025-09-01 22:32:31,Open,Tech 04,Agent 06
REQ-5050,Password reset needed,please look into this,Not Requested,Employee 5512,Finance,2025-09-02 07:01:13,Closed,Tech 06,Agent 03
REQ-5051,Password reset needed,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 9290,Quality,2025-09-01 10:48:29,Open,Tech 03,Agent 05
REQ-5052,Weekly compliance report India,please look into this,Not Requested,Employee 6836,R&D,2025-09-06 06:49:37,Closed,Tech 06,Agent 04
REQ-5053,Weekly compliance report India,please look into this,Not Requested,Employee 9704,Marketing,2025-09-05 17:42:40,Closed,Tech 04,Agent 06
REQ-5054,Access removal request,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 7852,Manufacturing,2025-09-06 02:54:54,On Hold,Tech 05,Agent 03
REQ-5055,New Ticket,please look into this,Not Requested,Employee 3217,Regulatory Affairs,2025-09-03 03:33:14,Closed,Tech 06,Agent 02
REQ-5056,Add user to distribution list,please look into this,Approved,Employee 3888,Field Sales,2025-09-06 14:31:11,Closed,Tech 04,Agent 04
REQ-5057,Weekly compliance report India,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Approved,Employee 6353,Field Sales,2025-09-01 19:35:54,On Hold,Tech 06,Agent 06
REQ-5058,Access removal request,please look into this,Not Requested,Employee 7484,R&D,2025-09-03 11:00:01,Closed,Tech 06,Agent 01
REQ-5059,Password reset needed,please look into this,Not Requested,Employee 6632,HR,2025-09-06 23:59:42,On Hold,Tech 02,Agent 03
