Ticket Id,Subject,Description,Category,Sub Category,Status,Priority,Created Time,Resolved Time,Group,Requester Name,Department,Location
HR-40159,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P2 - High,19/09/2025 06:25,25/09/2025 16:39,Payroll Team,Employee 2506,HR,Plant A
HR-40242,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,On Hold,P2 - High,20/09/2025 21:15,,Payroll Team,Employee 6965,Regulatory Affairs,Plant B
HR-40227,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,On Hold,P3 - Medium,07/07/2025 19:59,,Payroll Team,Employee 5116,Quality,Plant B
HR-40003,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P2 - High,17/08/2025 14:33,20/08/2025 10:38,HR Helpdesk,Employee 1884,R&D,Plant B
HR-40332,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,Closed,P2 - High,12/07/2025 06:33,15/07/2025 14:03,HR Helpdesk,Employee 3940,Manufacturing,Region South
HR-40196,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P2 - High,24/09/2025 16:23,29/09/2025 23:56,Payroll Team,Employee 7178,Manufacturing,Region North
HR-40329,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,Closed,P3 - Medium,01/09/2025 00:09,05/09/2025 21:38,Payroll Team,Employee 4064,Field Sales,Region South
HR-40138,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P4 - Low,30/07/2025 04:02,02/08/2025 11:28,HR Helpdesk,Employee 1904,Finance,Plant B
HR-40330,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,Resolved,P3 - Medium,22/07/2025 02:12,25/07/2025 05:06,Payroll Team,Employee 1049,HR,HQ
HR-40120,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,On Hold,P4 - Low,09/08/2025 12:42,,HR Helpdesk,Employee 6910,Manufacturing,Plant B
HR-40181,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P4 - Low,08/07/2025 11:23,14/07/2025 18:58,Payroll Team,Employee 2512,IT,Plant A
HR-40145,Tax declaration window reopen request,Tax declaration window reopen request. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P2 - High,19/09/2025 06:32,23/09/2025 21:59,Benefits Team,Employee 3914,HR,Plant B
HR-40119,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,On Hold,P4 - Low,21/09/2025 06:21,,Benefits Team,Employee 7942,IT,Plant B
HR-40320,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,On Hold,P4 - Low,08/09/2025 07:50,,HR Helpdesk,Employee 1553,HR,Region West
HR-40075,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P4 - Low,19/09/2025 21:41,20/09/2025 08:45,Benefits Team,Employee 4248,Manufacturing,Region West
HR-40174,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P2 - High,04/07/2025 05:06,07/07/2025 21:02,Payroll Team,Employee 1136,HR,Region South
HR-40014,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,On Hold,P2 - High,12/09/2025 20:06,,Benefits Team,Employee 9425,Field Sales,Region North
HR-40017,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Open,P3 - Medium,27/08/2025 12:25,,Benefits Team,Employee 7967,Regulatory Affairs,Plant B
HR-40203,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,Closed,P3 - Medium,28/09/2025 21:05,02/10/2025 17:48,Benefits Team,Employee 9547,Marketing,Region North
HR-40070,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P3 - Medium,16/07/2025 01:07,16/07/2025 18:10,Benefits Team,Employee 6787,IT,Region South
HR-40239,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,Closed,P3 - Medium,09/07/2025 03:19,12/07/2025 01:42,HR Helpdesk,Employee 4584,Field Sales,Plant B
HR-40133,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P4 - Low,18/08/2025 16:47,23/08/2025 02:50,Payroll Team,Employee 3842,Quality,Region South
HR-40162,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P3 - Medium,18/09/2025 07:16,24/09/2025 02:31,Payroll Team,Employee 6099,R&D,Region North
HR-40010,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P3 - Medium,13/09/2025 16:52,14/09/2025 07:07,HR Helpdesk,Employee 2662,Supply Chain,Plant B
HR-40013,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,03/09/2025 07:25,04/09/2025 17:56,HR Helpdesk,Employee 3500,Supply Chain,Plant A
HR-40012,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,21/07/2025 11:40,22/07/2025 12:20,HR Helpdesk,Employee 9389,Regulatory Affairs,HQ
HR-40212,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,Closed,P4 - Low,27/07/2025 14:42,28/07/2025 21:01,Benefits Team,Employee 7573,Manufacturing,Plant B
HR-40058,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P3 - Medium,17/09/2025 01:17,18/09/2025 20:53,Payroll Team,Employee 8347,IT,HQ
HR-40287,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Open,P4 - Low,09/08/2025 20:39,,Benefits Team,Employee 6726,HR,HQ
HR-40248,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,Open,P3 - Medium,18/09/2025 13:07,,Benefits Team,Employee 9831,R&D,Plant B
HR-40125,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P3 - Medium,05/09/2025 02:40,14/09/2025 15:56,Payroll Team,Employee 6078,IT,Plant A
HR-40106,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P4 - Low,26/07/2025 16:33,31/07/2025 20:56,HR Helpdesk,Employee 6065,Supply Chain,Region North
HR-40293,ID card reissue,ID card reissue. Employee raised via HR portal.,ID Cards & Access,,On Hold,P4 - Low,27/08/2025 06:11,,HR Helpdesk,Employee 4050,IT,HQ
HR-40016,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,03/09/2025 03:37,03/09/2025 13:00,Payroll Team,Employee 5945,Regulatory Affairs,Region North
HR-40204,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,Closed,P4 - Low,15/07/2025 00:18,18/07/2025 20:12,HR Helpdesk,Employee 4806,Supply Chain,Region South
HR-40163,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P3 - Medium,22/08/2025 07:32,28/08/2025 09:05,HR Helpdesk,Employee 5666,R&D,HQ
HR-40109,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P3 - Medium,30/07/2025 12:27,05/08/2025 17:59,HR Helpdesk,Employee 7763,HR,Plant B
HR-40277,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Closed,P2 - High,16/07/2025 01:33,18/07/2025 01:25,HR Helpdesk,Employee 3382,Marketing,Region West
HR-40126,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P4 - Low,01/07/2025 11:26,04/07/2025 13:50,Benefits Team,Employee 8034,Marketing,Region West
HR-40046,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P3 - Medium,06/07/2025 12:13,08/07/2025 17:20,Payroll Team,Employee 9228,Marketing,Plant B
HR-40021,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Open,P2 - High,18/08/2025 03:48,,Payroll Team,Employee 5365,Finance,Plant A
HR-40309,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,On Hold,P3 - Medium,13/07/2025 17:24,,HR Helpdesk,Employee 2213,HR,Region North
HR-40038,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,06/07/2025 06:34,06/07/2025 16:20,Benefits Team,Employee 1039,Field Sales,Region North
HR-40205,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,Closed,P3 - Medium,25/08/2025 05:38,28/08/2025 07:52,HR Helpdesk,Employee 3699,Supply Chain,Region North
HR-40110,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P4 - Low,06/07/2025 04:55,09/07/2025 20:26,HR Helpdesk,Employee 5246,Finance,Region North
HR-40100,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P2 - High,12/09/2025 11:14,15/09/2025 22:09,Payroll Team,Employee 2505,Marketing,Region South
HR-40262,Name correction in HR system,Name correction in HR system. Employee raised via HR portal.,Employee Data Updates,,Closed,P4 - Low,21/08/2025 19:36,28/08/2025 14:16,Payroll Team,Employee 7587,Marketing,Region North
HR-40137,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P2 - High,29/07/2025 04:35,07/08/2025 04:23,Payroll Team,Employee 1718,Quality,HQ
HR-40208,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,On Hold,P3 - Medium,12/09/2025 19:46,,Benefits Team,Employee 8180,Regulatory Affairs,Region West
HR-40331,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,Resolved,P4 - Low,19/08/2025 09:28,24/08/2025 17:52,Benefits Team,Employee 6314,Manufacturing,Region West
HR-40082,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P2 - High,26/07/2025 19:01,28/07/2025 23:13,Payroll Team,Employee 8228,IT,Region West
HR-40178,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,On Hold,P4 - Low,21/08/2025 12:06,,HR Helpdesk,Employee 3513,Supply Chain,Region North
HR-40156,Tax declaration window reopen request,Tax declaration window reopen request. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P4 - Low,18/09/2025 23:51,22/09/2025 19:37,Payroll Team,Employee 4871,Supply Chain,Region North
HR-40303,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,Closed,P2 - High,22/09/2025 07:35,24/09/2025 00:07,HR Helpdesk,Employee 7340,Finance,HQ
HR-40275,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Closed,P2 - High,08/07/2025 10:48,09/07/2025 19:41,Benefits Team,Employee 6100,R&D,Plant A
HR-40031,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,06/09/2025 09:20,07/09/2025 08:13,HR Helpdesk,Employee 6940,Quality,Region North
HR-40224,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,Closed,P2 - High,26/07/2025 15:55,30/07/2025 02:08,HR Helpdesk,Employee 9000,Field Sales,HQ
HR-40078,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,On Hold,P4 - Low,06/09/2025 20:48,,Payroll Team,Employee 8915,R&D,Region West
HR-40130,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P3 - Medium,10/09/2025 15:38,17/09/2025 01:42,Payroll Team,Employee 4366,Finance,HQ
HR-40105,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,On Hold,P2 - High,15/09/2025 13:41,,HR Helpdesk,Employee 3994,Finance,Region South
HR-40034,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,29/07/2025 15:33,30/07/2025 14:28,Benefits Team,Employee 2613,Regulatory Affairs,Region North
HR-40217,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,Resolved,P4 - Low,25/09/2025 03:18,27/09/2025 09:02,HR Helpdesk,Employee 8936,Supply Chain,Region North
HR-40206,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,Closed,P4 - Low,04/09/2025 12:32,06/09/2025 05:18,HR Helpdesk,Employee 1269,HR,Region West
HR-40064,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Resolved,P2 - High,03/08/2025 14:35,05/08/2025 22:53,Payroll Team,Employee 4133,Regulatory Affairs,HQ
HR-40190,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P4 - Low,03/07/2025 06:58,08/07/2025 01:24,Payroll Team,Employee 7731,Marketing,Region North
HR-40030,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,On Hold,P2 - High,27/09/2025 22:39,,Payroll Team,Employee 9997,Field Sales,Plant A
HR-40228,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,Resolved,P4 - Low,07/07/2025 09:40,10/07/2025 10:39,HR Helpdesk,Employee 8560,R&D,Plant A
HR-40315,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,On Hold,P3 - Medium,26/07/2025 16:24,,Benefits Team,Employee 1348,R&D,Region North
HR-40041,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,28/09/2025 13:58,28/09/2025 23:44,Benefits Team,Employee 2905,R&D,Region South
HR-40183,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,On Hold,P3 - Medium,16/07/2025 11:09,,Payroll Team,Employee 4371,R&D,Plant B
HR-40271,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Closed,P4 - Low,08/09/2025 19:18,09/09/2025 17:27,Payroll Team,Employee 1107,Regulatory Affairs,Region North
HR-40032,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,27/09/2025 19:01,30/09/2025 06:12,Payroll Team,Employee 2367,Manufacturing,Region South
HR-40202,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,Open,P3 - Medium,16/08/2025 21:30,,HR Helpdesk,Employee 3603,Field Sales,Plant A
HR-40321,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,Closed,P3 - Medium,03/08/2025 16:34,08/08/2025 03:00,HR Helpdesk,Employee 9296,Field Sales,Region West
HR-40260,Name correction in HR system,Name correction in HR system. Employee raised via HR portal.,Employee Data Updates,,Closed,P4 - Low,10/07/2025 10:16,14/07/2025 17:43,Payroll Team,Employee 6642,Manufacturing,Plant A
HR-40072,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P4 - Low,15/07/2025 05:50,18/07/2025 05:00,HR Helpdesk,Employee 1274,Finance,Plant A
HR-40158,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P3 - Medium,04/09/2025 23:38,10/09/2025 08:32,Payroll Team,Employee 5296,R&D,Region West
HR-40225,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,Closed,P2 - High,25/07/2025 18:27,28/07/2025 16:09,Payroll Team,Employee 2491,Finance,Region North
HR-40328,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,Resolved,P4 - Low,09/08/2025 06:43,13/08/2025 19:28,Payroll Team,Employee 5646,Finance,Plant A
HR-40234,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,On Hold,P4 - Low,25/09/2025 23:23,,Benefits Team,Employee 8968,R&D,Region North
HR-40185,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,Open,P2 - High,14/07/2025 02:42,,Payroll Team,Employee 3038,Finance,Plant A
HR-40289,ID card reissue,ID card reissue. Employee raised via HR portal.,ID Cards & Access,,Closed,P4 - Low,03/09/2025 12:58,06/09/2025 17:09,Payroll Team,Employee 8113,Field Sales,Region West
HR-40045,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,16/07/2025 13:09,17/07/2025 22:02,Benefits Team,Employee 5663,Manufacturing,Region West
HR-40308,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,Closed,P4 - Low,10/07/2025 22:35,12/07/2025 16:46,HR Helpdesk,Employee 5175,Marketing,Plant B
HR-40232,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,Resolved,P4 - Low,10/08/2025 12:56,15/08/2025 09:43,Benefits Team,Employee 5987,Supply Chain,HQ
HR-40146,Tax declaration window reopen request,Tax declaration window reopen request. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P4 - Low,14/07/2025 04:00,18/07/2025 21:49,HR Helpdesk,Employee 5165,IT,HQ
HR-40211,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,Closed,P2 - High,08/07/2025 22:50,11/07/2025 00:09,Benefits Team,Employee 4984,Supply Chain,Plant B
HR-40141,Tax declaration window reopen request,Tax declaration window reopen request. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P2 - High,30/08/2025 18:36,04/09/2025 03:14,Payroll Team,Employee 1777,Finance,Region North
HR-40259,Name correction in HR system,Name correction in HR system. Employee raised via HR portal.,Employee Data Updates,,Closed,P4 - Low,09/07/2025 13:36,14/07/2025 18:21,HR Helpdesk,Employee 5958,Quality,Region North
HR-40052,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P2 - High,19/09/2025 10:19,22/09/2025 03:00,HR Helpdesk,Employee 8369,Quality,Region South
HR-40216,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,Closed,P2 - High,18/08/2025 07:04,22/08/2025 00:21,HR Helpdesk,Employee 2423,HR,Plant B
HR-40157,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P4 - Low,22/07/2025 17:06,26/07/2025 22:28,Benefits Team,Employee 5617,Supply Chain,Plant A
HR-40313,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,Closed,P4 - Low,18/09/2025 21:55,20/09/2025 20:05,Payroll Team,Employee 8874,IT,Region North
HR-40171,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P2 - High,03/08/2025 01:34,07/08/2025 07:47,Benefits Team,Employee 5966,Manufacturing,HQ
HR-40265,Name correction in HR system,Name correction in HR system. Employee raised via HR portal.,Employee Data Updates,,Closed,P2 - High,26/08/2025 14:40,29/08/2025 02:28,Payroll Team,Employee 7941,Regulatory Affairs,Plant B
HR-40044,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P3 - Medium,01/09/2025 21:25,03/09/2025 23:09,Benefits Team,Employee 1247,Field Sales,Plant B
HR-40169,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P2 - High,24/08/2025 11:23,27/08/2025 02:41,HR Helpdesk,Employee 6647,Finance,Region North
HR-40238,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,Closed,P4 - Low,03/08/2025 00:49,04/08/2025 06:16,Payroll Team,Employee 8827,Field Sales,HQ
HR-40123,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,On Hold,P3 - Medium,28/09/2025 19:35,,Payroll Team,Employee 3396,IT,HQ
HR-40122,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P4 - Low,16/09/2025 04:31,29/09/2025 05:12,Payroll Team,Employee 3131,Supply Chain,HQ
HR-40115,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P2 - High,17/08/2025 03:10,22/08/2025 09:39,HR Helpdesk,Employee 6048,HR,Plant B
HR-40063,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Resolved,P2 - High,22/07/2025 09:06,23/07/2025 10:09,Payroll Team,Employee 8708,Quality,Plant B
HR-40051,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P3 - Medium,22/09/2025 07:34,24/09/2025 21:45,Payroll Team,Employee 6191,Regulatory Affairs,Plant A
HR-40221,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,Open,P4 - Low,10/08/2025 07:03,,HR Helpdesk,Employee 3106,IT,Region South
HR-40107,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,On Hold,P2 - High,02/07/2025 03:55,,Payroll Team,Employee 5779,Finance,Region South
HR-40037,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P4 - Low,17/08/2025 06:12,21/08/2025 04:56,Benefits Team,Employee 2766,Quality,Region West
HR-40179,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Open,P2 - High,28/07/2025 17:06,,Payroll Team,Employee 2407,Field Sales,Plant B
HR-40311,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,Closed,P3 - Medium,21/08/2025 10:04,23/08/2025 07:10,HR Helpdesk,Employee 2057,Supply Chain,Region South
HR-40273,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Closed,P2 - High,12/07/2025 14:49,13/07/2025 05:33,HR Helpdesk,Employee 3241,HR,Plant A
HR-40084,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P4 - Low,15/07/2025 13:40,16/07/2025 03:25,Benefits Team,Employee 7476,Supply Chain,HQ
